 , ,Fino. BP,MAP,Systolic,Diastolic,MSNA Iowa Int.,MSNA Iowa Int.,MSNA Iowa Int.,MSNA Iowa Int.
Sel Start,Sel Duration,Cmt Text,Value,Value,Value,Cmt Text,Cmt No,Minimum,Max - Min
s,s, ,mmHg,mmHg,mmHg, , ,V,V
6991.805939,1.39,106/63,80.88717651,111.4693375,61.27832413,BURST,79,0.5238,0.1381
6993.195939,1.165,106/63,79.77575684,112.7812881,62.15589905,BURST,80,0.525,0.2078
6994.360939,1.13,106/63,79.77575684,112.7812881,62.15589905,BURST,80,0.5197,0.0594
6995.490939,1.27,106/63,81.10028839,107.8438034,58.74956512,BURST,80,0.52,0.0669
6996.760939,1.45,106/63,84.44972229,112.3750229,66.65615845,BURST,80,0.5159,0.0828
6998.210939,1.395,106/63,85.27137756,117.4376373,65.87397766,BURST,80,0.5238,0.0578
6999.605939,1.235,106/63,83.82719421,117.0631332,62.02905273,BURST,80,0.535,0.1066
7000.840939,1.34,106/63,85.41465759,114.8438416,61.53110123,BURST,80,0.5194,0.1116
7002.180939,1.375,106/63,82.38174438,114.7192764,65.62458801,BURST,81,0.5269,0.1412
7003.555939,1.225,106/63,81.02281952,113.8762665,61.6875,BURST,81,0.5322,0.0644
7004.780939,1.32,106/63,83.05103302,111.2500305,59.90623093,BURST,81,0.5112,0.1469
7006.100939,1.415,106/63,86.20443726,117.5312576,65.43702698,BURST,81,0.5212,0.0756
7007.515939,1.365,106/63,85.56015778,118.5314026,65.1875,BURST,81,0.525,0.0491
7008.880939,1.44,106/63,83.62758636,116.5625,63.03107834,BURST,81,0.5184,0.0803
7010.320939,1.47,106/63,78.42225647,112.3125534,63.53073883,BURST,82,0.5238,0.1928
7011.790939,1.38,106/63,76.71762085,111.34375,58.71856689,BURST,83,0.5325,0.2091
7013.170939,1.435,106/63,76.66665649,108.5000229,56.18541336,BURST,84,0.5272,0.3734
7014.605939,1.235,106/63,76.33320618,111.0941238,58.09358215,BURST,85,0.5416,0.1416
7015.840939,1.5,106/63,78.93881989,107.40625,56.53109741,BURST,85,0.5313,0.1556
7017.340939,1.315,106/63,79.56440735,112.1884766,63.90618134,BURST,85,0.5138,0.1147
