 , ,Fino. BP,Fino. BP,Systolic,Diastolic,MSNA Iowa Int.,MSNA Iowa Int.,MSNA Iowa Int.
Sel Start,Sel Duration,Cmt Text,Mean,Mean,Mean,Cmt Text,Cmt No,Max - Min
s,s, ,mmHg,mmHg,mmHg, , ,V
158.1134306,1.376, ,96.35589571,135.462563,73.63176698,burst,88,0.3106
159.4894306,1.2723, ,90.9945571,134.4891022,70.72525149,burst,89,0.3834
160.7617306,1.1158, ,94.93968733,131.5000763,68.78119659,burst,90,0.1937
161.8775306,1.0959, ,91.9019841,127.4697041,69.53560957,burst,90,0.0614
162.9734306,1.3149, ,93.88968981,130.7105811,72.55263424,burst,90,0.0947
164.2883306,1.4534, ,100.8365449,135.5549691,74.85250633,burst,90,0.1031
165.7417306,1.4377, ,97.22572946,137.4185237,74.28611002,burst,91,0.3097
167.1794306,1.2395, ,92.22706232,136.0887366,72.59548995,burst,92,0.3419
168.4189306,1.1778, ,97.4604692,132.4689636,71.93734741,burst,92,0.0781
169.5967306,1.279, ,96.16875244,132.9787956,75.48530927,burst,92,0.0941
170.8757306,1.4093, ,102.1611793,136.0481097,76.52649163,burst,92,0.1349
172.2850306,1.4029, ,98.36100666,137.5734665,75.45280438,burst,93,0.1578
173.6879306,1.2929, ,94.29166022,136.2295306,73.24185002,burst,94,0.1787
174.9808306,1.1385, ,98.34631643,133.3755188,71.65614319,burst,94,0.0669
176.1193306,1.1515, ,96.14068606,131.2267584,73.68350379,burst,94,0.0872
177.2708306,1.321, ,97.99292676,134.2348476,75.97621541,burst,94,0.0934
178.5918306,1.394, ,99.07332765,136.2807992,75.40995836,burst,95,0.2503
179.9858306,1.3742, ,93.8827909,134.7945876,72.40709827,burst,96,0.2438
181.3600306,1.2139, ,89.68449831,131.8991312,68.48562905,burst,97,0.2859
182.5739306,1.0632, ,95.13612502,127.973671,67.31239319,burst,97,0.08
183.6371306,1.0878, ,93.18199864,127.4579978,70.29577791,burst,97,0.1044
184.7249306,1.3631, ,98.09856669,132.5350034,74.68421781,burst,97,0.1244
186.0880306,1.4111, ,98.9287081,137.1448006,76.08461216,burst,98,0.1987
187.4991306,1.3907, ,96.19227727,137.0049332,72.89607971,burst,98,0.2687
188.8898306,1.1983, ,92.48305412,134.5033787,71.50505075,burst,99,0.2978
190.0881306,1.1073, ,97.26445521,131.2190247,70.56148529,burst,99,0.0859
191.1954306,1.2324, ,94.72619482,131.854027,74.06849135,burst,99,0.0772
192.4278306,1.4349, ,102.3854842,#NUM!,#NUM!,burst,99,0.1702
193.8627306,1.4317, ,97.23255134,#NUM!,#NUM!,burst,100,0.2097
