 , ,Fino. BP,MAP,Systolic,Diastolic,MSNA Iowa Int.,MSNA Iowa Int.,MSNA Iowa Int.,MSNA Iowa Int.
Sel Start,Sel Duration,Cmt Text,Value,Value,Value,Cmt Text,Cmt No,Minimum,Max - Min
s,s, ,mmHg,mmHg,mmHg, , ,V,V
10860.02756,1.32, ,81.38417053,110.8125381,59.46870804,BURST,457,0.5178,0.0891
10861.34756,1.28, ,80.72729492,115.4377899,63.09339905,BURST,457,0.52,0.0594
10862.62756,1.26, ,82.62559509,115.6251831,59.81031799,BURST,457,0.5313,0.0584
10863.88756,1.425, ,82.8117218,117.1877975,61.84301758,BURST,457,0.5319,0.0984
10865.31256,1.265, ,77.34339905,115.9069672,62.78094864,BURST,458,0.5363,0.2578
10866.57756,1.48, ,78.91225433,114.2816315,56.96754837,BURST,458,0.5247,0.0809
10868.05756,1.275, ,75.73086548,114.2217941,59.46822357,BURST,458,0.5322,0.0697
10869.33256,1.435, ,77.40151215,110.1568832,55.28100586,BURST,458,0.5319,0.0988
10870.76756,1.255, ,77.07382202,112.5652771,60.03062439,BURST,459,0.5328,0.2031
10872.02256,1.345, ,80.51660156,111.219162,56.96704865,BURST,459,0.5206,0.1109
10873.36756,1.2, ,82.79384613,116.875,62.15397644,BURST,459,0.5288,0.0641
10874.56756,1.365, ,89.14609528,120.781662,62.59330368,BURST,459,0.5425,0.0613
10875.93256,1.24, ,88.29727173,124.4381409,69.43651581,BURST,459,0.5278,0.0975
10877.17256,1.66, ,88.46734619,122.9376373,65.12467957,BURST,459,0.5275,0.0634
10878.83256,1.51, ,81.21386719,123.6885757,68.0302124,BURST,460,0.5369,0.1525
10880.34256,1.575, ,77.17041016,114.8128128,58.21852493,BURST,460,0.5222,0.0791
10881.91756,1.54, ,75.10343933,113.1876678,57.59337616,BURST,460,0.5363,0.0622
10883.45756,1.425, ,71.94716644,107.2813492,54.3744278,BURST,461,0.51,0.2444
10884.88256,1.455, ,75.28368378,111.9388199,55.24957657,BURST,462,0.5428,0.1294
10886.33756,1.27, ,73.7441864,110.40625,57.1875,BURST,462,0.5303,0.1038
10887.60756,1.43, ,78.7299118,111.5630569,55.31242371,BURST,462,0.5303,0.0847
10889.03756,1.285, ,76.51586151,111.9695282,60.21873856,BURST,462,0.5228,0.0806
10890.32256,1.58, ,81.33766937,113.0948639,58.03020477,BURST,462,0.5322,0.1059
10891.90256,1.505, ,77.14206696,112.7502365,62.99804688,BURST,462,0.5119,0.0688
10893.40756,1.625, ,78.64915466,112.1266403,56.3406105,BURST,462,0.5172,0.1353
10895.03256,1.44, ,74.80088806,112.5940018,58.49866867,BURST,463,0.5275,0.2884
10896.47256,1.465, ,74.19166565,108.0941086,53.87459946,BURST,463,0.5191,0.0784
10897.93756,1.35, ,75.97135925,112.5625076,57.18659592,BURST,463,0.5278,0.07
10899.28756,1.39, ,77.06106567,110.562912,56.56045914,BURST,463,0.5263,0.1138
10900.67756,1.33, ,79.79108429,116.1269913,59.40624619,BURST,463,0.5134,0.0778
